official_id,name,country,role,confederation,source_id,retrieved_at
ref_wc2026_6d5c54c5,Mahmoud Ashour,Egypt,video_assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_5bb117df,Hamza El Fariq,Morocco,video_assistant_referee,CAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_b2a69da3,Joe Dickerson,United States,video_assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7ba9f6f6,Armando Villarreal,United States,video_assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7e325202,Erick Miranda,Mexico,video_assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_96d6141d,Tatiana Guzmán,Nicaragua,video_assistant_referee,CONCACAF,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_268ecb3e,Juan Lara,Chile,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_381fe7da,Hernán Mastrángelo,Argentina,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_e9c6815b,Antonio García,Uruguay,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_32d221b5,Leodán González,Uruguay,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_40f041da,Juan Soto,Venezuela,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_397ae818,Nicolás Gallo,Colombia,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_cdd0482b,Rodolpho Toski,Brazil,video_assistant_referee,CONMEBOL,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_dbe651c4,Jérôme Brisard,France,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_0a41befe,Willy Delajod,France,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_3ee651fb,Bastian Dankert,Germany,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_54353325,Carlos del Cerro Grande,Spain,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_8a444514,Marco Di Bello,Italy,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_4c2d5a27,Ivan Bebek,Croatia,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_e212d533,Jarred Gillett,England,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_ff19c415,Dennis Higler,Netherlands,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_7ebc921a,Tomasz Kwiatkowski,Poland,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_5073fe16,Bram Van Driessche,Belgium,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
ref_wc2026_1e2ecef9,Fedayi San,Switzerland,video_assistant_referee,UEFA,wiki_officials_2026,2026-07-12T00:00:00
