section,line
dataset_manual_changes,Lyon city changed to Décines-Charpieu.
dataset_manual_changes,"Mainz 05 league changed to Bundesliga, city to Mainz, stadium to Mewa Arena."
dataset_manual_changes,"Marathón name changed to Marathón, league to Liga Nacional de Fútbol de Honduras, country to Honduras, city to San Pedro Sula, stadium to Yankel Rosenthal Stadium."
dataset_manual_changes,"Mazatlán name changed to Mazatlán, city to Mazatlán, stadium to Estadio El Encanto."
dataset_manual_changes,"Melbourne Victory league changed to A-League Men, city to Melbourne, stadium to Melbourne Rectangular Stadium."
dataset_manual_changes,Middlesbrough country changed to England.
dataset_manual_changes,"Montana league changed to Second Professional Football League (Bulgaria), country to Bulgaria, city to Montana, stadium to Stadion Ogosta."
dataset_manual_changes,"Monterrey league changed to Liga MX, country to Mexico, city to Monterrey, stadium to Estadio BBVA."
dataset_manual_changes,"Nancy league changed to Ligue 2, country to France, city to Tomblaine, stadium to Stade Marcel Picot."
dataset_manual_changes,"Nantes league changed to Ligue 2, country to France, city to Nantes, stadium to Stade de la Beaujoire."
dataset_manual_changes,Nasaf stadium changed to Markaziy Stadium (Qarshi).
dataset_manual_changes,"Neom league changed to Saudi Pro League, city to Tabuk, stadium to King Khalid Sports City Stadium."
dataset_manual_changes,"Nice league changed to Ligue 1, country to France, city to Nice, stadium to Allianz Riviera."
dataset_manual_changes,"Olimpia league changed to APF División de Honor, country to Paraguay, city to Asunción, stadium to Estadio Osvaldo Domínguez Dibb."
dataset_manual_changes,"Panathinaikos city changed to Athens, stadium to Olympic Stadium (Athens)."
dataset_manual_changes,"Pari Nizhny Novgorod league changed to Russian First League, country to Russia, city to Nizhny Novgorod, stadium to Nizhny Novgorod Stadium."
dataset_manual_changes,"Pisa league changed to Serie B, country to Italy, city to Pisa, stadium to Arena Garibaldi – Stadio Romeo Anconetani."
dataset_manual_changes,"Pogoń Szczecin name changed to Pogoń Szczecin, stadium to Florian Krygier Municipal Stadium."
dataset_manual_changes,"Puerto Cabello league changed to Liga FUTVE, country to Venezuela, city to Puerto Cabello, stadium to Complejo Deportivo Socialista."
dataset_manual_changes,"Raja Casablanca league changed to Botola Pro, city to Casablanca, stadium to Stade Mohammed V."
dataset_manual_changes,"Rijeka league changed to Croatian Football League, country to Croatia, city to Rijeka, stadium to Stadion Rujevica."
