club_id,club_name,club_name_ascii,country,league,city,stadium,notes
c_al_etiffaq_f2058dce,Al Etiffaq,Al Etiffaq,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
c_heart_of_midlothian_d14abfe8,Heart of Midlothian,Heart of Midlothian,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
c_kasimpasa_520d5e13,Kasimpasa,Kasimpasa,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
c_leeds_d537b1a4,Leeds,Leeds,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
c_mainz_0f856462,Mainz,Mainz,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
c_man_united_e54449db,Man United,Man United,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
c_tottehham_6d832957,Tottehham,Tottehham,,,,,Wikidata/league/city/stadium pending Step 5b/Step 6.
