player_id,wikidata_id,fifa_id,espn_id,display_name,name_ascii,date_of_birth,place_of_birth,birth_country,birth_lat,birth_lon,height_cm,primary_position,image_commons_title,image_url,image_author,image_license,image_source_url,bio_source_url,data_confidence,manual_review_flag,notes
p_tur_oguz_aydin_86168307,,,,Oguz Aydin,Oguz Aydin,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_tur_orkun_kokcu_6391207c,,,,Orkun Kokcu,Orkun Kokcu,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_tur_ozan_kabak_c4fb80a7,,,,Ozan Kabak,Ozan Kabak,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_tur_salih_ozcan_e4897523,,,,Salih Ozcan,Salih Ozcan,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_tur_samet_akaydin_200fea99,,,,Samet Akaydin,Samet Akaydin,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_tur_ugurcan_cakir_92178001,,,,Ugurcan Cakir,Ugurcan Cakir,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_tur_yunus_akgun_7d8f68a0,,,,Yunus Akgun,Yunus Akgun,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_tur_zeki_celik_bd18591a,,,,Zeki Celik,Zeki Celik,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_agustin_canobbio_83fa6cbe,,,,Agustín Canobbio,Agustin Canobbio,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_brian_rodriguez_89827720,,,,Brian Rodríguez,Brian Rodriguez,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_darwin_nunez_1a84e727,,,,Darwin Núñez,Darwin Nunez,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_uru_emiliano_martinez_d355aea9,,,,Emiliano Martínez,Emiliano Martinez,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_facundo_pellistri_4544f6de,,,,Facundo Pellistri,Facundo Pellistri,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_federico_valverde_0bfec323,,,,Federico Valverde,Federico Valverde,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_federico_vinas_cb9dc0dd,,,,Federico Viñas,Federico Vinas,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_uru_fernando_muslera_496c516d,,,,Fernando Muslera,Fernando Muslera,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_uru_giorgian_de_arrascaeta_4eee4008,,,,Giorgian De Arrascaeta,Giorgian De Arrascaeta,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_guillermo_varela_eaf90cb2,,,,Guillermo Varela,Guillermo Varela,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_joaquin_piquerez_7e1e626a,,,,Joaquín Piquerez,Joaquin Piquerez,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_jose_maria_gimenez_eafc45dd,,,,José María Giménez,Jose Maria Gimenez,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_juan_manuel_sanabria_208c9ccd,,,,Juan Manuel Sanabria,Juan Manuel Sanabria,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_manuel_ugarte_71c17777,,,,Manuel Ugarte,Manuel Ugarte,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_mathias_olivera_a22eab3e,,,,Mathías Olivera,Mathias Olivera,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_matias_vina_f28ee795,,,,Matías Viña,Matias Vina,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_maximiliano_araujo_ab0bce05,,,,Maximiliano Araújo,Maximiliano Araujo,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_nicolas_de_la_cruz_5cb19aa3,,,,Nicolás De La Cruz,Nicolas De La Cruz,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_rodrigo_aguirre_3ee44e98,,,,Rodrigo Aguirre,Rodrigo Aguirre,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_uru_rodrigo_bentancur_ebe35639,,,,Rodrigo Bentancur,Rodrigo Bentancur,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_rodrigo_zalazar_78725bf0,,,,Rodrigo Zalazar,Rodrigo Zalazar,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uru_ronald_araujo_00fc3f18,,,,Ronald Araújo,Ronald Araujo,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_santiago_bueno_6eb1865b,,,,Santiago Bueno,Santiago Bueno,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_santiago_mele_214e0c93,,,,Santiago Mele,Santiago Mele,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_uru_sebastian_caceres_9b1bab1d,,,,Sebastián Cáceres,Sebastian Caceres,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uru_sergio_rochet_c189e500,,,,Sergio Rochet,Sergio Rochet,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_usa_alejandro_zendejas_579e0cb7,,,,Alejandro Zendejas,Alejandro Zendejas,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_alex_freeman_859bf9a0,,,,Alex Freeman,Alex Freeman,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_antonee_robinson_5fac462f,,,,Antonee Robinson,Antonee Robinson,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_auston_trusty_ca5567ba,,,,Auston Trusty,Auston Trusty,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_brenden_aaronson_2ed4cfa9,,,,Brenden Aaronson,Brenden Aaronson,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_chris_brady_c09c4f39,,,,Chris Brady,Chris Brady,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_usa_chris_richards_d7a73544,,,,Chris Richards,Chris Richards,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_christian_pulisic_6cb8700a,,,,Christian Pulisic,Christian Pulisic,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_usa_cristian_roldan_19b483b9,,,,Cristian Roldan,Cristian Roldan,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_folarin_balogun_3e3f15dd,,,,Folarin Balogun,Folarin Balogun,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_usa_gio_reyna_b8dd3aab,,,,Gio Reyna,Gio Reyna,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_usa_haji_wright_fe98ed50,,,,Haji Wright,Haji Wright,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_usa_joe_scally_08ae9c28,,,,Joe Scally,Joe Scally,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_malik_tillman_28eb1a95,,,,Malik Tillman,Malik Tillman,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_mark_mckenzie_a1bff87c,,,,Mark McKenzie,Mark McKenzie,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_matt_freese_e8fb1d12,,,,Matt Freese,Matt Freese,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_usa_matt_turner_348f92d8,,,,Matt Turner,Matt Turner,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_usa_max_arfsten_d1cf8510,,,,Max Arfsten,Max Arfsten,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_miles_robinson_b4b6ad87,,,,Miles Robinson,Miles Robinson,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_ricardo_pepi_ef1ca62a,,,,Ricardo Pepi,Ricardo Pepi,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_usa_sebastian_berhalter_98856966,,,,Sebastian Berhalter,Sebastian Berhalter,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_sergino_dest_5cadecb3,,,,Sergiño Dest,Sergino Dest,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_tim_ream_b9a4d665,,,,Tim Ream,Tim Ream,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_usa_tim_weah_ec163b4c,,,,Tim Weah,Tim Weah,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_tyler_adams_399cd4e4,,,,Tyler Adams,Tyler Adams,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_usa_weston_mckennie_b8a1d469,,,,Weston McKennie,Weston McKennie,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_abbosek_fayzullaev_7c8d1f65,,,,Abbosek Fayzullaev,Abbosek Fayzullaev,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_abdukodir_khusanov_99618853,,,,Abdukodir Khusanov,Abdukodir Khusanov,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_abdulla_abdullaev_08bb762c,,,,Abdulla Abdullaev,Abdulla Abdullaev,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_abduvokhid_nematov_fcf4ccf8,,,,Abduvokhid Nematov,Abduvokhid Nematov,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_uzb_akmal_mozgovoy_b9a8b87d,,,,Akmal Mozgovoy,Akmal Mozgovoy,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_avazbek_ulmasaliev_bdd127da,,,,Avazbek Ulmasaliev,Avazbek Ulmasaliev,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_azizbek_amonov_8c6d0d93,,,,Azizbek Amonov,Azizbek Amonov,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_uzb_azizjon_ganiev_4c92c41d,,,,Azizjon Ganiev,Azizjon Ganiev,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_behruz_karimov_a874e9c9,,,,Behruz Karimov,Behruz Karimov,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_botirali_ergashev_bb23b2eb,,,,Botirali Ergashev,Botirali Ergashev,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
p_uzb_dostonbek_khamdamov_da7c6654,,,,Dostonbek Khamdamov,Dostonbek Khamdamov,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_eldor_shomurodov_962d8f66,,,,Eldor Shomurodov,Eldor Shomurodov,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_uzb_farrukh_sayfiev_c014c3d9,,,,Farrukh Sayfiev,Farrukh Sayfiev,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_igor_sergeev_f553c9f7,,,,Igor Sergeev,Igor Sergeev,,,,,,,forward,,,,,,,provisional_raw_import,FALSE,
p_uzb_jakhongir_urozov_24c7ed1b,,,,Jakhongir Urozov,Jakhongir Urozov,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_jaloliddin_masharipov_5b3885bf,,,,Jaloliddin Masharipov,Jaloliddin Masharipov,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_jamshid_iskanderov_f790406f,,,,Jamshid Iskanderov,Jamshid Iskanderov,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_khojiakbar_alijonov_49ddb978,,,,Khojiakbar Alijonov,Khojiakbar Alijonov,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_oston_urunov_0c3c92c5,,,,Oston Urunov,Oston Urunov,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_otabek_shukurov_081adf33,,,,Otabek Shukurov,Otabek Shukurov,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_rustamjon_ashurmatov_5e5fc943,,,,Rustamjon Ashurmatov,Rustamjon Ashurmatov,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_sherzod_esanov_b867f0ba,,,,Sherzod Esanov,Sherzod Esanov,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_sherzod_nasrullaev_ea287438,,,,Sherzod Nasrullaev,Sherzod Nasrullaev,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_umarali_rakhmonaliev_6656049c,,,,Umarali Rakhmonaliev,Umarali Rakhmonaliev,,,,,,,midfielder,,,,,,,provisional_raw_import,FALSE,
p_uzb_umarbek_eshmurodov_98c2b86e,,,,Umarbek Eshmurodov,Umarbek Eshmurodov,,,,,,,defender,,,,,,,provisional_raw_import,FALSE,
p_uzb_utkir_yusupov_2a10db50,,,,Utkir Yusupov,Utkir Yusupov,,,,,,,goalkeeper,,,,,,,provisional_raw_import,FALSE,
