raw_club_id,raw_club_name,raw_club_name_ascii,canonical_club_id,canonical_club_name,alias_rule,merge_confidence,player_count_for_raw_club_id,teams_using_raw_club_id,normalization_notes
c_independiente_rivadavia_c01b9f67,Independiente Rivadavia,Independiente Rivadavia,c_independiente_rivadavia_c01b9f67,Independiente Rivadavia,unchanged,not_applicable,1,Paraguay:1,No normalization merge applied.
c_inter_miami_12316fb2,Inter Miami,Inter Miami,c_inter_miami_12316fb2,Inter Miami,unchanged,not_applicable,3,Argentina:2; Canada:1,No normalization merge applied.
c_inter_milan_ec07dd66,Inter Milan,Inter Milan,c_inter_milan_ec07dd66,Inter Milan,auto_merge_curated_alias,high,4,Switzerland:1; Türkiye:1; Netherlands:1; Croatia:1,Collapsed source variant to canonical club 'Inter Milan'.
c_internacional_9f25f9e5,Internacional,Internacional,c_internacional_9f25f9e5,Internacional,auto_merge_curated_alias,high,1,Ecuador:1,Collapsed source variant to canonical club 'Internacional'.
c_internacional_de_porto_alegre_2cd531d7,Internacional de Porto Alegre,Internacional de Porto Alegre,c_internacional_9f25f9e5,Internacional,auto_merge_curated_alias,high,1,Uruguay:1,Collapsed source variant to canonical club 'Internacional'.
c_internazionale_aa241403,Internazionale,Internazionale,c_inter_milan_ec07dd66,Inter Milan,auto_merge_curated_alias,high,3,Ivory Coast:1; France:1; Argentina:1,Collapsed source variant to canonical club 'Inter Milan'.
c_ipswich_b59d5dc9,Ipswich,Ipswich,c_ipswich_town_0526bcf8,Ipswich Town,auto_merge_curated_alias,high,1,Scotland:1,Collapsed source variant to canonical club 'Ipswich Town'.
c_ipswich_town_0526bcf8,Ipswich Town,Ipswich Town,c_ipswich_town_0526bcf8,Ipswich Town,auto_merge_curated_alias,high,1,Iraq:1,Collapsed source variant to canonical club 'Ipswich Town'.
c_ironi_kiryat_shmona_c6bc74ed,Ironi Kiryat Shmona,Ironi Kiryat Shmona,c_ironi_kiryat_shmona_c6bc74ed,Ironi Kiryat Shmona,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_istanbul_basaksehir_eda9bc84,Istanbul Basaksehir,Istanbul Basaksehir,c_istanbul_basaksehir_eda9bc84,Istanbul Basaksehir,unchanged,not_applicable,4,Uzbekistan:2; Cape Verde:1; Ghana:1,No normalization merge applied.
c_jagiellonia_bialystok_14ff40df,Jagiellonia Bialystok,Jagiellonia Bialystok,c_jagiellonia_bialystok_14ff40df,Jagiellonia Bialystok,unchanged,not_applicable,1,Bosnia-Herzegovina:1,No normalization merge applied.
c_jeonbuk_hyundai_06657775,Jeonbuk Hyundai,Jeonbuk Hyundai,c_jeonbuk_hyundai_06657775,Jeonbuk Hyundai,unchanged,not_applicable,2,South Korea:2,No normalization merge applied.
c_js_kabylie_dbd91381,JS Kabylie,JS Kabylie,c_js_kabylie_dbd91381,JS Kabylie,unchanged,not_applicable,1,Algeria:1,No normalization merge applied.
c_juarez_7fd97eca,Juárez,Juarez,c_juarez_7fd97eca,Juárez,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_juventus_57698fb8,Juventus,Juventus,c_juventus_57698fb8,Juventus,unchanged,not_applicable,7,Canada:1; Brazil:1; United States:1; Türkiye:1; Netherlands:1; Sweden:1; Portugal:1,No normalization merge applied.
c_kaizer_chiefs_99debdde,Kaizer Chiefs,Kaizer Chiefs,c_kaizer_chiefs_99debdde,Kaizer Chiefs,unchanged,not_applicable,1,South Africa:1,No normalization merge applied.
c_kalba_cd0a6e06,Kalba,Kalba,c_kalba_cd0a6e06,Kalba,unchanged,not_applicable,1,Iran:1,No normalization merge applied.
c_karlsruher_sc_de48b4d3,Karlsruher SC,Karlsruher SC,c_karlsruher_sc_de48b4d3,Karlsruher SC,unchanged,not_applicable,1,Bosnia-Herzegovina:1,No normalization merge applied.
c_kasmpasa_61344b51,Kasımpaşa,Kasmpasa,c_kasmpasa_61344b51,Kasımpaşa,unchanged,not_applicable,2,Tunisia:2,No normalization merge applied.
c_kashima_antlers_e314a26b,Kashima Antlers,Kashima Antlers,c_kashima_antlers_e314a26b,Kashima Antlers,unchanged,not_applicable,2,South Korea:1; Japan:1,No normalization merge applied.
c_kasimpasa_520d5e13,Kasimpasa,Kasimpasa,c_kasimpasa_520d5e13,Kasimpasa,unchanged,not_applicable,1,Türkiye:1,No normalization merge applied.
c_kayserispor_6364c552,Kayserispor,Kayserispor,c_kayserispor_6364c552,Kayserispor,unchanged,not_applicable,1,Curacao:1,No normalization merge applied.
c_kifisia_6c2ed07b,Kifisia,Kifisia,c_kifisia_6c2ed07b,Kifisia,unchanged,not_applicable,1,Curacao:1,No normalization merge applied.
c_kilmarnock_77ff2e4c,Kilmarnock,Kilmarnock,c_kilmarnock_77ff2e4c,Kilmarnock,unchanged,not_applicable,2,Scotland:1; Congo DR:1,No normalization merge applied.
c_kobenhavn_f37ec8f7,Kobenhavn,Kobenhavn,c_copenhagen_7e10c652,Copenhagen,auto_merge_curated_alias,high,1,Croatia:1,Collapsed source variant to canonical club 'Copenhagen'.
c_konyaspor_93c0af9a,Konyaspor,Konyaspor,c_konyaspor_93c0af9a,Konyaspor,unchanged,not_applicable,1,Curacao:1,No normalization merge applied.
c_krasnodar_e8c3f037,Krasnodar,Krasnodar,c_krasnodar_e8c3f037,Krasnodar,unchanged,not_applicable,2,Cape Verde:1; Colombia:1,No normalization merge applied.
c_kv_mechelen_5d03665d,KV Mechelen,KV Mechelen,c_kv_mechelen_5d03665d,KV Mechelen,unchanged,not_applicable,1,Morocco:1,No normalization merge applied.
c_lafc_42b75eaf,LAFC,LAFC,c_lafc_42b75eaf,LAFC,unchanged,not_applicable,4,Canada:3; South Korea:1,No normalization merge applied.
c_lanus_7b7e52a5,Lanus,Lanus,c_lanus_7b7e52a5,Lanus,unchanged,not_applicable,1,Paraguay:1,No normalization merge applied.
c_lask_ec5e4ca0,LASK,LASK,c_lask_ec5e4ca0,LASK,auto_merge_curated_alias,high,1,Panama:1,Collapsed source variant to canonical club 'LASK'.
c_lask_linz_e868dff4,LASK Linz,LASK Linz,c_lask_ec5e4ca0,LASK,auto_merge_curated_alias,high,1,Austria:1,Collapsed source variant to canonical club 'LASK'.
c_ldu_quito_c7b2d459,LDU Quito,LDU Quito,c_ldu_quito_c7b2d459,LDU Quito,unchanged,not_applicable,2,Haiti:1; Ecuador:1,No normalization merge applied.
c_le_havre_e4b47f0b,Le Havre,Le Havre,c_le_havre_ac_f11b1be2,Le Havre AC,auto_merge_curated_alias,high,2,Japan:1; Congo DR:1,Collapsed source variant to canonical club 'Le Havre AC'.
c_le_havre_ac_f11b1be2,Le Havre AC,Le Havre AC,c_le_havre_ac_f11b1be2,Le Havre AC,auto_merge_curated_alias,high,1,Senegal:1,Collapsed source variant to canonical club 'Le Havre AC'.
c_lechia_gdansk_6dd6ea20,Lechia Gdańsk,Lechia Gdansk,c_lechia_gdansk_6dd6ea20,Lechia Gdańsk,unchanged,not_applicable,1,New Zealand:1,No normalization merge applied.
c_leeds_d537b1a4,Leeds,Leeds,c_leeds_d537b1a4,Leeds,unchanged,not_applicable,1,Switzerland:1,No normalization merge applied.
c_leeds_united_4d0a095e,Leeds United,Leeds United,c_leeds_united_4d0a095e,Leeds United,unchanged,not_applicable,3,United States:1; Japan:1; Sweden:1,No normalization merge applied.
c_leicester_city_1856e967,Leicester City,Leicester City,c_leicester_city_1856e967,Leicester City,unchanged,not_applicable,3,Ghana:2; Australia:1,No normalization merge applied.
c_lens_d18e9fd2,Lens,Lens,c_lens_d18e9fd2,Lens,unchanged,not_applicable,4,Bosnia-Herzegovina:1; Saudi Arabia:1; France:1; Congo DR:1,No normalization merge applied.
c_leon_e09d3468,León,Leon,c_leon_e09d3468,León,unchanged,not_applicable,1,Panama:1,No normalization merge applied.
c_levante_1173db37,Levante,Levante,c_levante_1173db37,Levante,unchanged,not_applicable,1,Australia:1,No normalization merge applied.
c_lille_5e95484f,Lille,Lille,c_lille_5e95484f,Lille,unchanged,not_applicable,8,Belgium:3; Algeria:2; Congo DR:2; Morocco:1,No normalization merge applied.
c_liverpool_53dacc53,Liverpool,Liverpool,c_liverpool_53dacc53,Liverpool,unchanged,not_applicable,11,Netherlands:3; Brazil:1; Scotland:1; Germany:1; Japan:1; Sweden:1; Egypt:1; France:1; Argentina:1,No normalization merge applied.
c_lokomotiv_moscow_d1e0d051,Lokomotiv Moscow,Lokomotiv Moscow,c_lokomotiv_moscow_d1e0d051,Lokomotiv Moscow,unchanged,not_applicable,1,Mexico:1,No normalization merge applied.
c_lokomotiva_zagreb_5ede067f,Lokomotiva Zagreb,Lokomotiva Zagreb,c_lokomotiva_zagreb_5ede067f,Lokomotiva Zagreb,unchanged,not_applicable,1,Jordan:1,No normalization merge applied.
c_lorient_1d133ad3,Lorient,Lorient,c_lorient_1d133ad3,Lorient,unchanged,not_applicable,3,Switzerland:1; Tunisia:1; Senegal:1,No normalization merge applied.
c_ludogorets_razgrad_596a7c7c,Ludogorets Razgrad,Ludogorets Razgrad,c_ludogorets_razgrad_596a7c7c,Ludogorets Razgrad,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.
c_lugano_b8a83086,Lugano,Lugano,c_lugano_b8a83086,Lugano,unchanged,not_applicable,2,Haiti:1; Tunisia:1,No normalization merge applied.
c_lyon_8ff8803d,Lyon,Lyon,c_lyon_8ff8803d,Lyon,unchanged,not_applicable,4,Brazil:1; Senegal:1; Argentina:1; Ghana:1,No normalization merge applied.
c_maccabi_haifa_f1b6b507,Maccabi Haifa,Maccabi Haifa,c_maccabi_haifa_f1b6b507,Maccabi Haifa,unchanged,not_applicable,2,Curacao:1; Senegal:1,No normalization merge applied.
