city_key,country,city,preferred_city_query,source_row_count,distinct_club_id_count,distinct_club_name_count,club_ids,club_names,leagues,stadiums,primary_stadium_context_query,primary_club_context_query,legacy_geonames_city_queries,legacy_stadium_queries,legacy_club_queries,existing_club_coord_count,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,untrusted_coordinate_basis_values,existing_coordinate_sources,existing_coordinate_source_urls,data_quality_flags,review_priority,latitude,longitude,geocode_source,geocode_source_url,match_confidence,review_status,review_notes,input_city_lookup_encoding,input_club_baseline_encoding,input_legacy_hybrid_encoding
germany__augsburg__de47f247,Germany,Augsburg,"Augsburg, Germany",1,1,1,c_fc_augsburg_ae582369,FC Augsburg,Bundesliga,WWK Arena,"WWK Arena, Augsburg, Germany","FC Augsburg, Augsburg, Germany","Augsburg, Germany","WWK Arena, Augsburg, Germany","FC Augsburg, Augsburg, Germany",1,1,48.3233205,10.8859261,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q167418,,medium,48.37154,10.89851,geonames_searchJSON,https://www.geonames.org/2954172,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Augsburg'; admin 'Bayern'; feature PPLA2; population 259196; 5.4 km from trusted local centroid; top-vs-next score margin 99.2; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
united-states__cincinnati__146369ca,United States,Cincinnati,"Cincinnati, United States",1,1,1,c_fc_cincinnati_d3ccf1dd,FC Cincinnati,Major League Soccer,TQL Stadium,"TQL Stadium, Cincinnati, United States","FC Cincinnati, Cincinnati, United States","Cincinnati, United States","TQL Stadium, Cincinnati, United States","FC Cincinnati, Cincinnati, United States",1,1,39.11138889,-84.52222222,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q54465634,,medium,39.12711,-84.51439,geonames_searchJSON,https://www.geonames.org/4508722,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Cincinnati'; admin 'Ohio'; feature PPLA2; population 311097; 1.9 km from trusted local centroid; top-vs-next score margin 64.5; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
united-states__frisco__4bfbb68c,United States,Frisco,"Frisco, United States",1,1,1,c_fc_dallas_00dc1812,FC Dallas,Major League Soccer,Toyota Stadium,"Toyota Stadium, Frisco, United States","FC Dallas, Frisco, United States",,,,1,1,33.15445833,-96.83515833,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1140457,,medium,33.15067,-96.82361,geonames_searchJSON,https://www.geonames.org/4692559,low,ready_for_geocoding_with_local_hints,"Manual city correction retained for Frisco, Texas, United States.",utf-8-sig,latin-1,utf-8-sig
denmark__herning__3dfaa460,Denmark,Herning,"Herning, Denmark",1,1,1,c_fc_midtjylland_2f4e39b9,FC Midtjylland,Danish Superliga,MCH Arena,"MCH Arena, Herning, Denmark","FC Midtjylland, Herning, Denmark","Herning, Denmark","MCH Arena, Herning, Denmark","FC Midtjylland, Herning, Denmark",1,1,56.11666667,8.95166667,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1557426,,medium,56.13615,8.97662,geonames_searchJSON,https://www.geonames.org/2620425,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Herning'; admin 'Region Midtjylland'; feature PPLA2; population 50565; 2.7 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
armenia__yerevan__cc3107b7,Armenia,Yerevan,"Yerevan, Armenia",1,1,1,c_fc_noah_5f5fceba,FC Noah,Armenian Premier League,Mika Stadium,"Mika Stadium, Yerevan, Armenia","FC Noah, Yerevan, Armenia",,,,1,1,40.149373,44.476449,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q2499412,,medium,40.17765,44.5126,geonames_searchJSON,https://www.geonames.org/616052,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Yerevan'; admin 'Քաղաք Երէվան'; feature PPLC; population 1144700; 4.4 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
denmark__farum__0840ef46,Denmark,Farum,"Farum, Denmark",2,2,2,c_fc_nordsjlland_ae9978cb | c_nordsjaelland_485bda61,FC Nordsjaelland | FC Nordsjælland,Danish Superliga,Right to Dream Park,"Right to Dream Park, Farum, Denmark","FC Nordsjaelland, Farum, Denmark","Farum, Denmark","Right to Dream Park, Farum, Denmark","FC Nordsj¾lland, Farum, Denmark",2,2,55.815847,12.353289,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1397226,multiple_clubs_same_city_country,medium,55.80858,12.36066,geonames_searchJSON,https://www.geonames.org/2622306,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Farum'; admin 'Region Hovedstaden'; feature PPLA2; population 20312; 0.9 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
south-korea__seoul__7188f517,South Korea,Seoul,"Seoul, South Korea",1,1,1,c_fc_seoul_8e133359,FC Seoul,K League 1,Seoul World Cup Stadium,"Seoul World Cup Stadium, Seoul, South Korea","FC Seoul, Seoul, South Korea",,,,1,1,37.405397,126.946446,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q4778217,,medium,37.566,126.9784,geonames_searchJSON,https://www.geonames.org/1835848,high,ready_for_geocoding_with_local_hints,"FC Seoul official site lists Seoul World Cup Stadium in Seoul as the home venue; city coordinates updated to Seoul, South Korea.",utf-8-sig,latin-1,utf-8-sig
slovakia__presov__981a5ee2,Slovakia,Prešov,"Prešov, Slovakia",1,1,1,c_fc_tatran_presov_05bcf723,FC Tatran Prešov,Slovak First Football League,Futbal Tatran Arena,"Futbal Tatran Arena, Prešov, Slovakia","FC Tatran Prešov, Prešov, Slovakia",,,,1,1,49.006667,21.234444,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q392308,,medium,48.99923,21.2355,geonames_searchJSON,https://www.geonames.org/723819,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Prešov'; admin 'Prešovský'; feature PPLA; population 82927; 0.8 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
japan__chofu__e754d8dd,Japan,Chōfu,"Chōfu, Japan",1,1,1,c_fc_tokyo_9926cea2,FC Tokyo,J1 League,Ajinomoto Stadium,"Ajinomoto Stadium, Chōfu, Japan","FC Tokyo, Chōfu, Japan","Ch_fu, Japan","Ajinomoto Stadium, Ch_fu, Japan","FC Tokyo, Ch_fu, Japan",1,1,35.664278,139.527139,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q412824,,medium,35.65924,139.54837,geonames_searchJSON,https://www.geonames.org/1864518,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Chōfu'; admin '東京都'; feature PPLA2; population 242614; 2.0 km from trusted local centroid; top-vs-next score margin 184.2; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
netherlands__enschede__463c3b9b,Netherlands,Enschede,"Enschede, Netherlands",1,1,1,c_fc_twente_dfc20881,FC Twente,Eredivisie,De Grolsch Veste,"De Grolsch Veste, Enschede, Netherlands","FC Twente, Enschede, Netherlands","Enschede, Netherlands","De Grolsch Veste, Enschede, Netherlands","FC Twente, Enschede, Netherlands",1,1,52.23666667,6.8375,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q727389,,medium,52.21833,6.89583,geonames_searchJSON,https://www.geonames.org/2756071,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Enschede'; admin 'Overijssel'; feature PPL; population 153655; 4.5 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
netherlands__utrecht__9da54053,Netherlands,Utrecht,"Utrecht, Netherlands",1,1,1,c_fc_utrecht_8e99a4a6,FC Utrecht,Eredivisie,Stadion Galgenwaard,"Stadion Galgenwaard, Utrecht, Netherlands","FC Utrecht, Utrecht, Netherlands","Utrecht, Netherlands","Stadion Galgenwaard, Utrecht, Netherlands","FC Utrecht, Utrecht, Netherlands",1,1,52.07833333,5.14583333,wikidata_home_venue_P115_to_stadium_P625,,wikidata_step6,https://www.wikidata.org/wiki/Q1675996,,medium,52.09083,5.12222,geonames_searchJSON,https://www.geonames.org/2745912,high,ready_for_geocoding_with_local_hints,GeoNames name_equals match; selected 'Utrecht'; admin 'Utrecht'; feature PPLA; population 376435; 2.1 km from trusted local centroid; HTTP fallback was used because the GeoNames HTTPS certificate failed verification.,utf-8-sig,latin-1,utf-8-sig
