city_key,country,city,preferred_city_query,review_status,review_priority,source_row_count,club_names,stadiums,primary_stadium_context_query,primary_club_context_query,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,existing_coordinate_source_urls,data_quality_flags,review_notes
romania__cluj-napoca__28a0e88e,Romania,Cluj-Napoca,"Cluj-Napoca, Romania",ready_for_geocoding_with_local_hints,medium,1,Universitatea Cluj,Cluj Arena,"Cluj Arena, Cluj-Napoca, Romania","Universitatea Cluj, Cluj-Napoca, Romania",1,46.76833300,23.57222200,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q74413,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
russia__saint-petersburg__b81cffa5,Russia,Saint Petersburg,"Saint Petersburg, Russia",ready_for_geocoding_with_local_hints,medium,1,Zenit St. Petersburg,Gazprom Arena,"Gazprom Arena, Saint Petersburg, Russia","Zenit St. Petersburg, Saint Petersburg, Russia",1,59.97295300,30.22053300,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q722970,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
russia__samara__135c829f,Russia,Samara,"Samara, Russia",ready_for_geocoding_with_local_hints,medium,1,Akron Tolyatti,Samara Arena,"Samara Arena, Samara, Russia","Akron Tolyatti, Samara, Russia",1,53.27753400,50.23769000,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q4439099,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
saudi-arabia__abu-dhabi__b3a729ca,Saudi Arabia,Abu Dhabi,"Abu Dhabi, Saudi Arabia",ready_for_geocoding_with_local_hints,medium,1,Al Wahda FC,Al Nahyan Stadium,"Al Nahyan Stadium, Abu Dhabi, Saudi Arabia","Al Wahda FC, Abu Dhabi, Saudi Arabia",1,21.48550000,39.97370000,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1129161,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
saudi-arabia__al-majma-ah__e112375f,Saudi Arabia,Al Majma'ah,"Al Majma'ah, Saudi Arabia",ready_for_geocoding_with_local_hints,medium,1,Al-Fayha Club,Prince Salman Bin Abdulaziz Sport City Stadium,"Prince Salman Bin Abdulaziz Sport City Stadium, Al Majma'ah, Saudi Arabia","Al-Fayha Club, Al Majma'ah, Saudi Arabia",1,25.88692900,45.36802100,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q7244241,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
saudi-arabia__dammam__72268880,Saudi Arabia,Dammam,"Dammam, Saudi Arabia",ready_for_geocoding_with_local_hints,medium,1,Al-Ettifaq Club,Al-Ettifaq Club Stadium,"Al-Ettifaq Club Stadium, Dammam, Saudi Arabia","Al-Ettifaq Club, Dammam, Saudi Arabia",1,26.35057111,50.18114278,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q126391645,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
saudi-arabia__khobar__e4258904,Saudi Arabia,Khobar,"Khobar, Saudi Arabia",ready_for_geocoding_with_local_hints,medium,1,Al Qadsiah FC,Prince Saud bin Jalawi Sports City Stadium,"Prince Saud bin Jalawi Sports City Stadium, Khobar, Saudi Arabia","Al Qadsiah FC, Khobar, Saudi Arabia",1,26.36990000,50.20520000,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q4116127,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
scotland__kilmarnock__05c428ca,Scotland,Kilmarnock,"Kilmarnock, Scotland",ready_for_geocoding_with_local_hints,medium,1,Kilmarnock F.C.,Rugby Park,"Rugby Park, Kilmarnock, Scotland","Kilmarnock F.C., Kilmarnock, Scotland",1,55.60422500,-4.50812200,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1637255,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
scotland__motherwell__ed09d1bc,Scotland,Motherwell,"Motherwell, Scotland",ready_for_geocoding_with_local_hints,medium,1,Motherwell F.C.,Fir Park,"Fir Park, Motherwell, Scotland","Motherwell F.C., Motherwell, Scotland",1,55.77994700,-3.98007800,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q252696,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
serbia__belgrade__ccf797d8,Serbia,Belgrade,"Belgrade, Serbia",ready_for_geocoding_with_local_hints,medium,1,Red Star Belgrade,Rajko Mitić Stadium,"Rajko Mitić Stadium, Belgrade, Serbia","Red Star Belgrade, Belgrade, Serbia",1,44.78333333,20.46472222,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q478000,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
