player_club_callup_id,player_id,team,club_name_at_source,old_club_id,new_club_id,new_canonical_club_name
pc_wc2026_4170338d,p_aus_cameron_devlin_644bde9b,Australia,Heart of Midlothian,c_heart_of_midlothian_d14abfe8,c_hearts_422d35b1,Heart of Midlothian F.C.
pc_wc2026_4453167b,p_aut_kevin_danso_cc750167,Austria,Tottehham,c_tottehham_6d832957,c_tottenham_hotspur_ef01ee61,Tottenham Hotspur
pc_wc2026_f7bedac6,p_jpn_kaishu_sano_10750420,Japan,Mainz,c_mainz_0f856462,c_mainz_05_a2ff4aed,Mainz 05
pc_wc2026_b5fd68b7,p_sco_jack_hendry_533b108a,Scotland,Al Etiffaq,c_al_etiffaq_f2058dce,c_al_ettifaq_807c8264,Al-Ettifaq Club
pc_wc2026_3beea219,p_kor_lee_jae_sung_18631f11,South Korea,Mainz,c_mainz_0f856462,c_mainz_05_a2ff4aed,Mainz 05
pc_wc2026_ac5fecad,p_sui_noah_okafor_15d60927,Switzerland,Leeds,c_leeds_d537b1a4,c_leeds_united_4d0a095e,Leeds United F.C.
pc_wc2026_bfa8aefc,p_sui_silvan_widmer_5a449c9b,Switzerland,Mainz,c_mainz_0f856462,c_mainz_05_a2ff4aed,Mainz 05
pc_wc2026_ee0c21c5,p_tur_altay_bayindir_049824ee,Türkiye,Man United,c_man_united_e54449db,c_manchester_united_f05b841f,Manchester United
pc_wc2026_71ebaec3,p_tur_irfan_can_kahveci_65af2c1e,Türkiye,Kasimpasa,c_kasimpasa_520d5e13,c_kasmpasa_61344b51,Kasımpaşa S.K.
