raw_club_id,raw_club_name,raw_club_name_ascii,canonical_club_id,canonical_club_name,alias_rule,merge_confidence,player_count_for_raw_club_id,teams_using_raw_club_id,normalization_notes,final_player_count_for_canonical_club_id,final_teams_using_canonical_club_id
c_astana_f8b0106f,Astana,Astana,c_astana_f8b0106f,Astana,unchanged,not_applicable,1,Bosnia-Herzegovina:1,No normalization merge applied.,1,Bosnia-Herzegovina:1
c_aston_villa_2b918477,Aston Villa,Aston Villa,c_aston_villa_2b918477,Aston Villa,unchanged,not_applicable,10,England:3; Belgium:2; Scotland:1; Ivory Coast:1; Sweden:1; France:1; Argentina:1,No normalization merge applied.,10,Argentina:1; Belgium:2; England:3; France:1; Ivory Coast:1; Scotland:1; Sweden:1
c_atalanta_f8d83567,Atalanta,Atalanta,c_atalanta_f8d83567,Atalanta,unchanged,not_applicable,7,Bosnia-Herzegovina:1; Ivory Coast:1; Netherlands:1; Sweden:1; Belgium:1; Croatia:1; Ghana:1,No normalization merge applied.,7,Belgium:1; Bosnia-Herzegovina:1; Croatia:1; Ghana:1; Ivory Coast:1; Netherlands:1; Sweden:1
c_athletic_club_24c5af40,Athletic Club,Athletic Club,c_athletic_club_24c5af40,Athletic Club,unchanged,not_applicable,4,Spain:3; Ghana:1,No normalization merge applied.,4,Ghana:1; Spain:3
c_athletico_paranaense_2178bb1a,Athletico Paranaense,Athletico Paranaense,c_athletico_paranaense_2178bb1a,Athletico Paranaense,unchanged,not_applicable,1,Colombia:1,No normalization merge applied.,1,Colombia:1
c_atlanta_united_43563fa4,Atlanta United,Atlanta United,c_atlanta_united_43563fa4,Atlanta United,unchanged,not_applicable,2,Paraguay:2,No normalization merge applied.,2,Paraguay:2
c_atlas_292eeed6,Atlas,Atlas,c_atlas_292eeed6,Atlas,unchanged,not_applicable,1,Colombia:1,No normalization merge applied.,1,Colombia:1
c_atletico_madrid_9b17a9e6,Atletico Madrid,Atletico Madrid,c_atletico_madrid_9b17a9e6,Atletico Madrid,unchanged,not_applicable,12,Argentina:6; Spain:3; Mexico:1; Uruguay:1; Norway:1,No normalization merge applied.,12,Argentina:6; Mexico:1; Norway:1; Spain:3; Uruguay:1
c_atletico_mineiro_a8379d4f,Atletico Mineiro,Atletico Mineiro,c_atletico_mineiro_a8379d4f,Atletico Mineiro,unchanged,not_applicable,4,Ecuador:3; Paraguay:1,No normalization merge applied.,4,Ecuador:3; Paraguay:1
c_atletico_nacional_4666103f,Atlético Nacional,Atletico Nacional,c_atletico_nacional_4666103f,Atlético Nacional,unchanged,not_applicable,1,Colombia:1,No normalization merge applied.,1,Colombia:1
c_atromitos_ea5a8225,Atromitos,Atromitos,c_atromitos_ea5a8225,Atromitos,unchanged,not_applicable,1,Congo DR:1,No normalization merge applied.,1,Congo DR:1
c_auckland_fc_a034ca43,Auckland FC,Auckland FC,c_auckland_fc_a034ca43,Auckland FC,unchanged,not_applicable,5,New Zealand:5,No normalization merge applied.,5,New Zealand:5
c_augsburg_eecde4b3,Augsburg,Augsburg,c_fc_augsburg_ae582369,FC Augsburg,auto_merge_curated_alias,high,3,Switzerland:1; Tunisia:1; Croatia:1,Collapsed source variant to canonical club 'FC Augsburg'.,4,Austria:1; Croatia:1; Switzerland:1; Tunisia:1
c_austria_vienna_84acf87e,Austria Vienna,Austria Vienna,c_austria_vienna_84acf87e,Austria Vienna,unchanged,not_applicable,1,South Korea:1,No normalization merge applied.,1,South Korea:1
c_auxerre_a2be9c4e,Auxerre,Auxerre,c_aj_auxerre_5c7942ef,AJ Auxerre,auto_merge_curated_alias,high,1,Haiti:1,Collapsed source variant to canonical club 'AJ Auxerre'.,5,Ghana:3; Haiti:1; Ivory Coast:1
c_az_alkmaar_6ec3c79a,AZ Alkmaar,AZ Alkmaar,c_az_alkmaar_6ec3c79a,AZ Alkmaar,unchanged,not_applicable,1,Mexico:1,No normalization merge applied.,1,Mexico:1
